Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
420	-3292.91	-3307.15	14.2373	3.249584	0.1816416	0.0137419	0.0205865	0.0394052	0.0553859	0.0242033	0.0277169	0.0468192	0.0633207	0.0248005	0.0264127	0.0275056	0.0238402	0.0357748	0.0219319	0.02476059	-0.09919366	0.0148349	0.417182	0.0039119	0.0302495	0.530566	0.00325578	8.611143	0.107621	-3.698502	0.000264305	0.0239009	0.334079	3.64176	0.301178	0.305729	0.137919	0.255174	0.00842731	12.7705
430	-3299.22	-3305.46	6.24081	3.209089	0.1437121	0.0089244	0.0295944	0.0344271	0.0977776	0.0424413	0.0246499	0.0446687	0.0659438	0.0306116	0.024826	0.0244674	0.0334106	0.0542915	0.0733249	0.04120442	-0.264352	0.00784179	0.400329	0.00675941	0.0129529	0.571091	0.00102662	11.33194	0.289961	-3.18921	3.54582e-05	0.00880421	0.222787	3.76837	0.310915	0.293952	0.1356	0.259533	0.02560901	11.32262
440	-3288.34	-3297.57	9.23306	2.920833	0.1546849	0.0134549	0.0259295	0.0314839	0.0479419	0.0254957	0.0130027	0.0441025	0.0464162	0.00808886	0.030286	0.016777	0.0419593	0.0148637	0.0485766	0.03489678	0.05997857	0.0133029	0.454557	0.00325888	0.0143942	0.513816	0.000671161	11.62651	0.1235258	-3.355361	7.01745e-05	0.0123671	0.255908	3.73165	0.282781	0.299334	0.133207	0.284678	0.1835043	0.6731491
450	-3286.32	-3299.27	12.9489	2.868437	0.2079671	0.013967	0.0224564	0.0389466	0.0435334	0.0154229	0.0173	0.0433208	0.0201268	0.0306334	0.0328314	0.0306442	0.0209004	0.027533	0.0102527	0.02535077	0.2177016	0.0116935	0.588224	0.00762354	0.0202553	0.370439	0.00176493	15.83701	0.1669045	-3.674946	0.000692025	0.0384944	0.404129	3.55668	0.295955	0.298985	0.131589	0.273471	0.384606	0.4339621
460	-3289.78	-3301.12	11.3415	2.968184	0.1643378	0.00912176	0.0273406	0.0274008	0.0353707	0.0181201	0.0446214	0.0435744	0.0224096	0.0088131	0.030558	0.0244073	0.0387243	0.0479553	0.0112696	0.02350867	0.2691407	0.0185197	0.520656	0.00485886	0.0161191	0.438142	0.00170512	23.1373	0.09762748	-3.750386	0.000118626	0.0160565	0.284527	3.6993	0.299435	0.284019	0.128735	0.28781	0.3667682	0.266183
470	-3284.82	-3301.79	16.9678	3.61284	0.2615764	0.016501	0.0142102	0.0280445	0.03503	0.0207619	0.0169987	0.0237332	0.018611	0.0520398	0.0279109	0.0182483	0.0235887	0.0294719	0.0317068	0.01910864	0.002788982	0.014393	0.51279	0.0103559	0.00544126	0.443175	0.0138448	9.579868	0.07328038	-3.957615	0.00269575	0.0751683	0.525271	3.39686	0.272896	0.296649	0.144983	0.285472	0.07606937	0.9633363
480	-3292.63	-3306.92	14.2894	3.61284	0.2564414	0.0103789	0.0199457	0.0278602	0.0299517	0.0143005	0.0275262	0.0240316	0.039866	0.0482786	0.0273443	0.00945741	0.0467966	0.0188397	0.0272592	0.02387721	-0.2492709	0.0157253	0.578176	0.0049994	0.00914046	0.376349	0.0156102	10.09677	0.2665417	-3.734831	0.00242565	0.0713796	0.514874	3.41132	0.282948	0.316343	0.119203	0.281506	0.01727086	15.43303
490	-3289.78	-3304.28	14.5075	3.61284	0.1803923	0.0111876	0.0153237	0.0170199	0.0316543	0.0195333	0.0165412	0.0214578	0.0314638	0.0296752	0.0128132	0.0137923	0.0256308	0.0100628	0.00227957	0.01652279	0.2046916	0.0179602	0.511145	0.00600837	0.00902337	0.441903	0.0139603	10.8855	0.06171426	-4.103015	0.000250742	0.0232844	0.330587	3.64588	0.320686	0.278755	0.12973	0.270828	0.2664058	0.2316551
500	-3281.35	-3300.15	18.7957	3.61284	0.1460035	0.0114671	0.0177925	0.0227218	0.042656	0.0180085	0.0153968	0.0267625	0.0348091	0.0313588	0.0113775	0.0135509	0.0214532	0.023781	0.0248338	0.02082491	0.02696356	0.017105	0.513708	0.00452753	0.00487385	0.444119	0.0156657	11.89097	0.009941267	-3.871605	4.12394e-05	0.00949197	0.22974	3.76073	0.302188	0.302221	0.129134	0.266456	0.03690483	0.2693758
510	-3288.43	-3300.19	11.7607	3.525609	0.1949748	0.00418072	0.0138043	0.0278808	0.0427879	0.0217566	0.0322059	0.0214826	0.0185888	0.0155655	0.0443817	0.0203239	0.0347828	0.0380327	0.025816	0.01944813	0.2036414	0.010429	0.567164	0.00527867	0.0140289	0.390182	0.0129165	17.61502	0.05675019	-3.940004	0.000444596	0.0309277	0.370416	3.59821	0.298819	0.295456	0.126853	0.278872	0.2603916	0.2179418
520	-3283.91	-3299.84	15.9353	3.186785	0.1876764	0.011409	0.014569	0.0200126	0.0426222	0.0225096	0.0270224	0.0245617	0.0142884	0.0340304	0.0364194	0.0285586	0.0335363	0.0117626	0.0175471	0.02256038	-0.06636258	0.018358	0.519004	0.00466704	0.01091	0.441669	0.0053919	19.71563	0.07773524	-3.79156	0.000337535	0.0269822	0.350737	3.62194	0.29131	0.305868	0.135067	0.267755	0.01137266	6.835276
