Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
43	1	-17.2802	0	-17.2802	23.62439	2.926607	0.133818	0.310225	0.170982	0.0643358	0.196862	0.186284	0.108635	0.0826539	0.269335	0.117463	0.0874823	0.11587	0.10417	0.226053	0.1781761	-0.02608167	0.00816794	0.0979361	0.180734	0.323534	0.377268	0.0123601	48.68319	0.08446489	-1.724983	0.383503	0.727382	1.08213	1.80699	0.146524	0.716591	0.0934281	0.0434578	0.05838322	1.446732
44	0	5.81129	0	5.81129	7.574405	2.262887	0.0273934	0.0201345	0.0309074	0.0197825	0.0931321	0.0247513	0.0379777	0.0347563	0.120863	0.0172869	0.0558968	0.0180424	0.0305437	0.0124406	0.03242539	0.1210123	0.00811035	0.0138216	0.278641	0.2897	0.329285	0.0804421	27.07767	0.02109652	-3.428813	0.322758	0.680343	1.07536	1.92154	0.34628	0.46553	0.177807	0.0103831	0.1421088	0.1484533
45	1	-23.3489	0	-23.3489	18.96632	2.548762	0.176881	0.368211	0.184341	0.0515802	0.25375	0.195152	0.176612	0.113075	0.276765	0.102395	0.104884	0.08833	0.107748	0.347131	0.1642657	-0.1605363	0.00987836	0.0576199	0.197387	0.273196	0.438998	0.0229205	22.51131	0.2327192	-1.80627	0.351031	0.703027	1.07916	1.86678	0.14443	0.289613	0.176895	0.389063	0.07218292	3.22402
46	0	4.29397	0	4.29397	17.51588	2.567955	0.0288334	0.054682	0.0204271	0.0243454	0.0620365	0.0367216	0.0797898	0.0138118	0.0941662	0.0262562	0.0544911	0.0151818	0.0293365	0.0401786	0.03039398	0.04184871	0.0184112	0.0397208	0.187689	0.232813	0.312038	0.209328	20.96403	0.02786855	-3.493511	0.352806	0.704403	1.07936	1.86343	0.0686579	0.365731	0.422155	0.143456	0.06971726	0.3997367
47	1	-17.0969	0	-17.0969	6.124578	2.051687	0.171811	0.254376	0.172423	0.051089	0.142233	0.202172	0.251259	0.134875	0.225591	0.0846009	0.167222	0.144266	0.0796778	0.391892	0.1648421	-0.08136837	0.0100621	0.0762781	0.473045	0.27639	0.141031	0.0231941	46.80132	0.1594526	-1.802767	0.299367	0.6604	1.07123	1.969	0.0576129	0.364676	0.208743	0.368968	0.07808422	2.042059
48	0	-7.37763	0	-7.37763	9.05095	2.824611	0.0528286	0.0621483	0.0140699	0.0591987	0.059401	0.0836374	0.21437	0.0132176	0.102225	0.0340002	0.0483024	0.0210828	0.0409689	0.0395728	0.03989988	0.03525203	0.0481922	0.0330769	0.123481	0.0859885	0.476636	0.232626	31.60156	0.1034702	-3.221382	0.375221	0.72133	1.0815	1.82195	0.613366	0.18028	0.184914	0.0214397	0.1387223	0.7458806
49	1	-18.9125	0	-18.9125	6.543993	2.41674	0.128385	0.495777	0.217508	0.0906336	0.220656	0.29116	0.350966	0.181428	0.168262	0.12667	0.126857	0.133289	0.125235	0.513651	0.1600635	-0.1024843	0.015931	0.150916	0.267426	0.168285	0.361397	0.0360454	39.1228	0.1614877	-1.832185	0.338418	0.693088	1.07762	1.89088	0.576208	0.255136	0.137105	0.031551	0.05900343	2.73692
50	0	-5.96468	0	-5.96468	5.844014	2.340475	0.0362415	0.0904776	0.0141497	0.0308509	0.0863257	0.0528961	0.167062	0.0123799	0.092817	0.0250224	0.0588719	0.0286293	0.0635767	0.0636293	0.04338297	-0.09244084	0.170598	0.0153282	0.125122	0.152649	0.237208	0.299094	24.16238	0.195721	-3.137688	0.330791	0.686938	1.07657	1.9057	0.173166	0.445456	0.358601	0.0227761	0.1032802	1.895049
51	1	-21.3558	0	-21.3558	1.970765	2.613219	0.0811285	0.644822	0.152471	0.191491	0.306924	0.177748	0.344889	0.144476	0.329648	0.145169	0.211968	0.149782	0.172215	0.707412	0.2251753	-0.08569239	0.0052272	0.162626	0.323822	0.162701	0.23339	0.112234	41.74921	0.1330247	-1.490876	0.356935	0.707583	1.0798	1.85568	0.228518	0.165575	0.392776	0.213131	0.04733227	2.810443
52	0	0.335528	0	0.335528	5.914705	2.607486	0.028465	0.0525266	0.0145262	0.0442837	0.0753412	0.0430592	0.105356	0.0244035	0.0655405	0.0254757	0.06182	0.0278133	0.0525134	0.0646314	0.03419073	-0.3141076	0.0515297	0.0113407	0.0948437	0.389607	0.25564	0.197039	29.74172	0.4449811	-3.375801	0.356416	0.707185	1.07975	1.85665	0.694041	0.0950295	0.178063	0.0328666	0.1308735	3.400085
53	1	-20.8231	0	-20.8231	6.019436	2.511905	0.15358	0.352281	0.139236	0.197746	0.274856	0.184795	0.194155	0.242617	0.334957	0.100694	0.166395	0.0931809	0.221062	0.886951	0.2068091	-0.2724581	0.00304357	0.108246	0.567858	0.105409	0.139326	0.0761169	21.31315	0.2953697	-1.575959	0.347582	0.700337	1.07876	1.87332	0.393015	0.286732	0.251718	0.0685344	0.02291167	12.89167
54	0	4.17711	0	4.17711	3.02852	2.165612	0.036035	0.0261372	0.0294922	0.0230039	0.0862898	0.035387	0.0848351	0.0195085	0.113156	0.0257207	0.089075	0.0226302	0.0645033	0.040109	0.04320857	-0.01411738	0.260383	0.00529602	0.0893248	0.222032	0.0660591	0.356905	16.17241	0.1649052	-3.141716	0.312274	0.671543	1.07363	1.94255	0.366789	0.0803542	0.298882	0.253975	0.1507878	1.093624
55	1	-19.7388	0	-19.7388	1.47587	2.478011	0.201155	0.1892	0.160268	0.387077	0.319575	0.141775	0.336114	0.235749	0.404429	0.213769	0.0793137	0.0652397	0.238859	0.748687	0.2178623	-0.5362916	0.00242548	0.142186	0.298778	0.0850434	0.297382	0.174184	42.29912	0.5540878	-1.523892	0.344362	0.697807	1.07837	1.87946	0.055208	0.299301	0.31943	0.32606	0.01779623	31.13512
